pid,product_name,old_price,c_price,base_price,company_id,company_name
2291,"Samarthya King Clean Dustpan",114,38,41,7,"Samarthya Cleaning "
2292,"Samarthya Aqualux (Round) Bathroom Set 6 Pcs (Printed)",2070,690,693,7,"Samarthya Cleaning "
2293,"Samarthya Aqualux Bucket 18Ltr",396,132,135,7,"Samarthya Cleaning "
2294,"Samarthya Jumbo Round Toilet Brush",153,51,54,7,"Samarthya Cleaning "
2295,"Samarthya Jumbo Round Toilet Brush (With Stand)",153,51,54,7,"Samarthya Cleaning "
2296,"Samarthya Royal 8 Type Cloth Brush",21,7,10,7,"Samarthya Cleaning "
2297,"Samarthya Shark Ovel Cloth Brush",132,44,47,7,"Samarthya Cleaning "
2298,"Samarthya Hydra Clean Bottle Brush",96,32,35,7,"Samarthya Cleaning "
2299,"Samarthya Spider Jala Broom S.S Telescopic Pipe (6 Feet)",510,170,173,7,"Samarthya Cleaning "
2300,"Samarthya Cob Gobi Jala Broom S.S Telescopic Pipe (6 Feet)",510,170,173,7,"Samarthya Cleaning "
2301,"Samarthya Super Fast Double Hockey Toilet Brush (Virgin)",144,48,51,7,"Samarthya Cleaning "
2302,"Samarthya Super Speed Single Hockey Toilet Brush (Virgin)",114,38,41,7,"Samarthya Cleaning "
2303,"Samarthya Handy Mix Blender",195,65,68,7,"Samarthya Cleaning "
2304,"Samarthya Chipsmaster",510,170,173,7,"Samarthya Cleaning "
2305,"Samarthya Majestic Jug 1500 Ml",294,98,101,7,"Samarthya Cleaning "
2306,"Samarthya Majestic Jug 1500Ml With 6 Pcs .Glass Set",585,195,198,7,"Samarthya Cleaning "
2307,"Samarthya Tea Strainer Plastic Handle",90,30,33,7,"Samarthya Cleaning "
2308,"Samarthya 1 No SS Strainer Plastic Handle",165,55,58,7,"Samarthya Cleaning "
2309,"Samarthya 2 No SS Strainer Plastic Handle",183,61,64,7,"Samarthya Cleaning "
2310,"Samarthya 3No SS Strainer Plastic Handle",198,66,69,7,"Samarthya Cleaning "
2311,"Samarthya Rani Oil & Juice Pourer 650 Ml",3,82,85,7,"Samarthya Cleaning "
2312,"Samarthya Rani Oil & Juice Pourer 1000 Ml",261,87,90,7,"Samarthya Cleaning "
2313,"Samarthya Smart Bin 1500 Ml Approx ( Table Top)",120,40,43,7,"Samarthya Cleaning "
2314,"Samarthya Aqualux Dustbin 12 Ltr",465,155,158,7,"Samarthya Cleaning "
2315,"Samarthya Agualux Soap Dish",96,32,35,7,"Samarthya Cleaning "
2316,"Samarthya Agualux Bath Stool",375,125,128,7,"Samarthya Cleaning "
2317,"Samarthya Blue Stone S.S. Water Bottle 1000 Ml",390,130,133,7,"Samarthya Cleaning "
2581,"Samarthya Eligant Bath Set 6 Pcs",3075,1025,1028,7,"Samarthya Cleaning "
2582,"Samarthya Elagant Mug 1 Ltr",54,18,21,7,"Samarthya Cleaning "
2583,"Samarthya Bathroom Utility Box",225,75,78,7,"Samarthya Cleaning "
2584,"Samarthya Kitchen Utility Box",129,43,46,7,"Samarthya Cleaning "
2586,"Samarthya Soap With Drain",90,30,33,7,"Samarthya Cleaning "
2587,"Samarthya Eligant Tub 20 Ltr",495,165,168,7,"Samarthya Cleaning "
2588,"Samarthya Eligant Mug Printed 1 Ltr",630,210,213,7,"Samarthya Cleaning "
2589,"Samarthya Unbrakable Mug V 750 Ml",33,11,14,7,"Samarthya Cleaning "
2590,"Samarthyha Unbrakable Mug 1250 Ml",69,23,26,7,"Samarthya Cleaning "
2591,"Samarthya Unbrakable Mug V 1000 Ml",66,22,25,7,"Samarthya Cleaning "
2606,"Samarthya Bucket Mop Volvo Ss",1590,530,533,7,"Samarthya Cleaning "
2623,"Samarthya Bottle Onxy 1800Ml",2850,950,953,7,"Samarthya Cleaning "
2624,"Samarthya Cloth Hanger (6Pcs)",294,98,101,7,"Samarthya Cleaning "
2625,"Samarthya Diamond Multipod",144,48,51,7,"Samarthya Cleaning "
2626,"Samarthya Pizza Cutter Ss",105,35,38,7,"Samarthya Cleaning "
2678,"Samarthya Maxo 16"" Floor Wiper",375,125,128,7,"Samarthya Cleaning "
2679,"Samarthya Maxo 20"" Floor Wiper",435,145,148,7,"Samarthya Cleaning "
2682,"Samarthya Soap Nest",75,25,28,7,"Samarthya Cleaning "
2683,"Samarthya Parrot Cloth Hanger",375,125,128,7,"Samarthya Cleaning "
2684,"Samarthya Blue Bied Cloth Hanger",360,120,123,7,"Samarthya Cleaning "
2685,"Samarthya Flexi Scrub",57,19,22,7,"Samarthya Cleaning "
2686,"Samarthya Duo Mate 2 Comparment",900,300,310,7,"Samarthya Cleaning "
2687,"Samarthya Duo Mate 3 Comparment",870,290,300,7,"Samarthya Cleaning "
2730,"Samarthya Naylo Scrube & Sponge Pad",45,15,18,7,"Samarthya Cleaning "
2731,"Samarthya Floor Wiper maxo 24""",600,200,203,7,"Samarthya Cleaning "
2732,"Samarthya Twist Turbo Mop SS",570,190,193,7,"Samarthya Cleaning "
2758,"Samarthya bucket mop top SS",999,500,510,7,"Samarthya Cleaning "
2759,"Samarthya bucket mop top PP",899,450,460,7,"Samarthya Cleaning "
2760,"Samarthya Flexi Multi Rack 3Layer",1400,460,470,7,"Samarthya Cleaning "
2761,"Samarthya Flexi Multi Rack 4Layer",1600,600,620,7,"Samarthya Cleaning "
